shortname;fullname;category
BPL001;INGLES NIVEL 1;1
BPL002;INGLES NIVEL 2;1
BPL002;INGLES NIVEL 2;1
BPL003;INGLES NIVEL 3;1
BPL003;INGLES NIVEL 3;1
BPL004;INGLES NIVEL 4;1
BPL005;INGLES NIVEL 5;1
BPL006;INGLES NIVEL 6;1
BPL007;INGLES NIVEL 7;1
GYM101;EDUCACION FISICA I;1
GYM102;EDUCACION FISICA II;1
GYM103;EDUCACION FISICA III;1
GYM104;EDUCACION FISICA IV;1
GYM104;EDUCACION FISICA IV;1
GYM105;EDUCACION FISICA V;1
GYM106;EDUCACION FISICA VI;1
GYM107;EDUCACION FISICA VII;1
GYM108;EDUCACION FISICA VIII;1
MAT105;CALCULO DIFERENCIAL;1
MAT106;CALCULO INTEGRAL;1
MAT109;ALGEBRA;1
MAT113;ALGEBRA LINEAL;1
MAT203;CALCULO MULTIVARIABLES;1
MAT208;ECUACIONES DIFERENCIALES;1
TICS100;PROGRAMACION;1
TICS110;TECNOLOGIAS DE INFORMACION;1
TICS261;DISEÑO Y CONSTRUCCION DE INTERFACES;1
TICS423;INTELIGENCIA DE NEGOCIOS;1
ING100;TALLER INTRODUCCION A LA INGENIERIA;1
ING102;TALLER DE EMPRENDIMIENTO;1
ING107;TALLER DE INNOVACION TECNOLOGICA;1
ING115;TALLER DE DISEÑO EN INGENIERIA;1
TICS120;TALLER DE EBUSINESS;1
LING111;TALLER DE EXPRESION ORAL I;1
LING112;TALLER DE EXPRESION ORAL II;1
FIS110;MECANICA;1
FIS221;ELECTROMAGNETISMO;1
FIS225;TERMODINAMICA;1
FIS222;ONDAS Y FISICA MODERNA;1
LITR101;LECTURA CRITICA;1
LING102;EXPRESION ESCRITA;1
ART100;ARTE O LITERATURA;1
BIO105;QUIMICA Y BIOLOGIA;1
HIS101;HISTORIA UNIVERSAL;1
HIS111;HISTORIA DE CHILE;1
EST101;PROBABILIDADES;1
EST200;METODOS ESTADISTICOS;1
ING200;OPTIMIZACION;1
ING201;INVESTIGACION DE OPERACIONES;1
GOB102;POLITICA: INSTITUCIONES;1
LID101;LIDERAZGO;1
FIS210;TALLER DE CIENCIAS APLICADAS;1
LID102;LIDERAZGO;1
PHI121;ARGUMENTACION Y PENSAMIENTO CRITICO;1
ECO110;FUNDAMENTOS DE LA ECONOMIA;1
ACCT240;CONTABILIDAD Y CONTROL DE GESTION;1
PHI101;FILOSOFIA;1
ECO216;FORMULACION Y EVALUACION DE PROYECTOS;1
ING421;GESTION DE OPERACIONES;1
ING108;TALLER DE MODELAMIENTO;1
TICS-234;SOFTWARE ENGINEERING;1
FIS-253;TALLER DE PROCESOS INDUSTRIALES;1
